#OTU ID	201411_Is1	201411_Is2	201411_Is3	201411_Is_SW	201411_Mi1	201411_Mi2	201411_Mi3	201411_Mi_SW	201502_Is2	201502_Is3	201502_Is_SW	201502_Mi1	201502_Mi2	201502_Mi3	201502_Mi_SW	201505_Is1	201505_Is2	201505_Is3	201505_Is_SW	201505_Mi1	201505_Mi2	201505_Mi3	201505_Mi_SW	201508_Is1	201508_Is2	201508_Is3	201508_Is_SW	201508_Mi1	201508_Mi2	201508_Mi3	201508_Mi_SW	201508_Out_SW	201511_Is1	201511_Is2	201511_Is3	201511_Is_SW	201511_Mi1	201511_Mi2	201511_Mi3	201511_Mi_SW	201511_Out_SW
OTU1	30318	16278	31524	0	33033	26967	14723	3	32027	33050	1	0	0	0	1	29743	24	53090	1	28121	36249	2	3	12571	202	54117	4	7153	5798	1	2	3	802	293	33604	3	773	2895	37	2	3
OTU5	1941	5631	2078	0	39	14	9	0	2808	3761	0	0	2	23	1	3395	4776	245	0	1	22	0	0	7430	2866	385	0	0	0	0	0	1	23646	4731	1	2	2	0	1	1	0
OTU119	164	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	12	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
OTU3	6161	9188	6510	0	25	69	48	2	5130	9260	0	119	95	439	6	9421	19628	985	2	36	310	311	0	15194	6838	1032	0	83	96	1	1	0	17028	13024	3042	0	2	36	2	0	0
OTU827	759	1720	953	0	15	6	2	0	429	1119	0	0	0	14	0	1478	2227	39	0	0	8	0	1	3850	404	149	0	0	0	0	1	0	751	1089	0	0	1	0	0	0	0
OTU40	4096	2413	4293	0	4880	4165	1803	0	4712	4354	0	0	1	0	1	4438	4	7829	0	4126	6107	0	0	1653	26	7358	0	814	796	1	1	0	106	50	5681	1	111	382	3	0	0
OTU770	9	9	16	0	24	43	16	0	29	38	0	0	0	0	0	46	0	69	0	42	40	0	0	10	0	28	0	4	2	0	0	0	0	0	20	0	0	5	0	0	0
OTU16	6481	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU14	861	0	0	1	1039	10	2298	0	864	820	0	1979	2890	13133	0	39	969	53	0	1635	964	2169	1	431	2645	102	0	1218	398	0	0	0	261	57	421	0	97	336	13	0	1
OTU169	89	15	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	1	0	1	0
OTU245	1020	2568	2179	0	11	6	4	0	584	1345	0	0	0	8	0	2696	2809	173	1	1	10	0	0	4458	549	59	0	0	0	0	0	0	644	1486	0	0	0	0	1	0	1
OTU696	24	183	3	0	0	0	1	0	56	30	0	0	8	116	0	20	342	12	0	0	0	0	0	73	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU26	232	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	697	0	0	4	2902	0	0	0	86	0	0	0	0	0	0	0
OTU729	69	24	44	0	46	81	29	0	130	88	0	0	0	0	0	74	0	248	0	81	85	0	0	30	0	152	0	12	12	0	0	0	1	1	68	0	1	5	0	0	0
OTU372	33	48	46	0	170	16	6	0	18	9	0	0	0	0	0	17	0	13	0	24	325	0	0	4	1	13	0	4	5	0	0	0	3	3	199	0	0	1	0	0	0
OTU117	115	90	3	0	0	5	0	1	22	35	0	35	4	0	0	0	0	4	0	0	1	16	0	34	8	349	0	146	0	0	0	0	34	139	2586	0	0	0	0	1	0
OTU666	88	44	78	0	86	58	55	0	81	127	0	0	0	0	0	103	0	172	0	76	105	0	0	53	1	199	0	38	31	0	0	0	2	0	107	0	3	8	0	0	0
OTU18	631	731	431	0	0	0	4	0	122	1196	0	219	91	265	9	205	845	778	0	172	96	0	3	19	416	669	1	2	26	0	0	0	75	418	0	0	34	9	20	0	0
OTU52	255	67	379	0	0	0	0	0	122	115	0	19	30	550	9	131	1380	37	0	0	0	0	0	508	29	0	0	0	0	0	0	0	0	3	517	0	2	0	0	0	1
OTU127	92	7	2	0	2	21	17	0	30	17	0	91	13	44	0	25	82	30	0	3	3	23	0	13	10	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU672	23	7	26	0	27	35	6	0	42	33	0	0	0	0	0	39	0	74	0	35	53	0	0	12	0	34	0	4	5	0	0	0	0	0	27	0	1	4	0	0	0
OTU156	98	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU17	121	0	0	1648	0	0	0	1479	0	0	3052	0	0	0	1954	8	60	7	4342	0	4	0	1421	0	0	0	748	0	1	0	421	220	0	1	0	3639	0	0	30	1477	929
OTU86	73	0	61	0	15	0	0	2	0	0	0	9	4	0	1	0	28	0	0	0	0	0	0	15	12	0	0	0	5	4359	1	0	0	0	0	0	0	0	1	0	0
OTU518	15	6	17	0	21	56	20	0	39	29	0	0	0	0	0	45	0	87	0	41	66	0	0	14	0	54	0	7	3	0	0	0	0	0	17	0	1	4	0	0	0
OTU15	89	61	2	1	0	0	0	2	21	0	2	0	5	32	4	9	107	4	0	0	0	36	0	24	418	0	2	0	28	6278	4	3	0	0	0	0	0	0	0	0	4
OTU727	15	0	0	0	36	0	85	0	20	55	0	81	228	860	0	0	71	2	0	91	80	123	0	15	98	7	0	33	17	0	0	0	6	5	39	0	6	23	0	0	0
OTU279	40	622	66	0	1	2	3	0	565	200	0	7	2	14	0	53	103	48	0	1	1	41	0	199	706	12	0	10	15	0	2	0	2870	975	46	0	0	1	1	0	0
OTU414	16	33	18	0	0	0	1	0	15	33	0	0	0	3	0	67	119	5	0	1	4	10	0	94	29	1	0	0	1	0	1	0	11	58	206	0	1	2	0	0	0
OTU792	1	0	0	132	0	0	0	77	0	0	7	0	0	0	17	0	0	1	61	5	0	0	41	0	0	0	39	0	0	0	74	72	0	0	0	26	0	0	0	34	67
OTU428	44	0	0	0	317	1	965	0	18	19	0	600	183	1126	0	22	113	19	0	503	104	696	0	7	185	4	0	78	125	0	0	0	19	1	14	0	3	315	4	0	0
OTU432	9	95	12	0	0	1	1	0	93	50	0	0	1	6	0	18	26	7	0	1	0	5	0	44	97	0	0	1	2	0	0	0	503	198	27	1	1	0	0	0	0
OTU261	30	0	6	0	1	6	11	0	3	2	0	2	6	27	0	0	7	2	0	0	1	4	0	0	8	37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU837	2	18	1	0	0	0	0	0	10	13	0	0	0	0	0	72	17	1	0	0	0	0	0	98	13	0	0	0	0	0	0	0	189	6	0	0	0	0	0	0	0
OTU94	1	1	2	0	0	0	0	0	1	3	0	0	0	20	0	13	9	1	0	0	4	83	0	43	50	0	0	0	9	0	0	0	36	117	970	0	0	2	0	0	0
OTU702	24	130	3	0	0	0	0	0	45	49	0	0	7	143	0	14	343	13	0	0	0	0	0	66	7	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
OTU815	10	3	5	0	15	20	9	0	17	17	0	0	0	0	0	22	0	43	0	32	32	0	0	14	0	26	0	1	2	0	0	0	0	0	12	0	0	1	0	0	0
OTU256	44	282	3	0	0	0	0	0	86	45	0	1	15	187	0	17	575	15	0	0	0	0	0	61	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU758	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU420	22	38	14	0	0	2	0	0	47	95	0	0	0	4	0	461	448	14	0	1	3	0	0	463	84	1	0	0	1	0	0	0	150	73	2	0	0	2	0	0	0
OTU905	9	0	0	40	0	0	0	31	0	0	122	0	0	0	78	0	3	2	80	0	0	0	47	0	0	0	11	0	0	0	14	8	0	0	0	92	0	0	4	53	24
OTU523	7	4	3	0	7	15	6	0	15	19	0	0	0	0	0	14	0	36	0	14	17	0	0	5	0	11	0	0	1	0	0	0	0	0	13	0	0	2	0	0	0
OTU835	13	4	3	0	20	11	5	0	13	4	0	0	0	0	0	15	0	24	0	14	24	0	0	2	0	16	0	1	4	0	0	0	0	0	10	0	0	2	0	0	0
OTU584	5	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU8	2	0	0	109	0	0	0	55	17	0	5448	0	0	0	9727	1	17	0	920	0	1	38	3033	0	0	0	56	0	0	0	489	84	0	0	3	255	1	0	39	74	16
OTU318	7	0	0	34	0	0	0	18	0	0	17	0	0	0	30	0	0	2	3	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	4	19
OTU538	1	0	0	22	0	0	0	58	0	0	35	0	0	0	60	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	13	25
OTU646	41	0	0	72	0	0	0	53	0	0	19	0	0	0	27	0	0	0	32	1	0	0	17	0	0	0	9	0	0	0	38	31	0	0	0	10	0	0	1	13	42
OTU834	7	3	14	0	19	27	12	0	20	23	0	0	0	0	0	25	0	46	0	24	41	0	0	6	0	24	0	0	1	0	0	0	1	0	10	0	0	0	0	0	0
OTU304	2	0	0	29	0	0	0	40	0	0	1	0	0	0	2	0	0	0	19	0	0	0	15	0	0	0	10	0	0	0	34	23	0	0	0	8	0	0	0	12	22
OTU673	8	1	3	0	9	8	3	0	12	6	0	0	0	0	0	4	0	16	0	5	8	0	0	2	0	10	0	2	1	0	0	0	0	0	9	0	0	2	0	0	0
OTU620	1	4	5	0	17	18	5	0	12	13	0	0	0	0	0	22	0	26	0	24	23	0	0	5	0	18	0	1	4	0	0	0	0	0	9	0	1	3	0	0	0
OTU888	3	12	4	0	0	0	0	0	1	7	0	2	1	2	0	15	24	0	0	1	0	1	0	15	7	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0
OTU762	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU23	2	3	5	0	181	220	151	0	1	4	0	779	339	3115	0	13	12	1	0	342	185	156	0	15	3	0	0	0	195	0	0	0	0	4	1	0	53	18	4	0	0
OTU799	1	0	0	0	0	0	0	7	1	0	0	0	0	0	6	1	5	0	4	0	0	0	4	1	0	0	2	0	0	0	3	0	0	1	0	0	0	0	0	1	0
OTU71	4	2	12	1	0	0	0	0	1	0	0	0	0	2	1	4	43	0	0	0	1	0	0	12	3	0	0	0	0	0	0	0	0	5	636	0	1	0	0	0	0
OTU482	1	0	0	27	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU784	2	8	0	0	0	0	0	0	1	1	0	0	0	2	0	2	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
OTU11	1	1	0	4285	1	1	0	3103	3	2	4354	2	0	59	5615	4	0	0	3496	1	0	3	3112	0	2	0	855	0	0	1	1504	1533	1	1	2	1539	3	0	137	1459	2668
OTU56	0	47	1	0	9	97	76	2	184	164	0	203	78	440	0	104	700	101	0	129	36	34	0	161	359	0	0	7	3	0	0	0	25	0	0	0	0	1	2	0	0
OTU31	0	382	29	0	4	99	28	0	0	0	0	2	0	0	0	87	0	0	0	251	12	0	0	809	0	0	0	0	0	0	0	0	39	14	0	0	0	0	0	0	0
OTU171	0	244	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU125	0	291	10	0	172	74	117	7	0	0	0	90	45	199	0	9	23	19	1	42	15	111	0	2	46	0	0	0	7	0	0	0	0	72	0	1	4	1	2	0	0
OTU273	0	25	125	0	147	41	34	0	0	0	0	59	14	94	1	4	10	6	0	26	13	17	0	5	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU67	0	68	1	0	0	5	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	5	612	0	0	0	0	0	0
OTU134	0	99	850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU459	0	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
OTU871	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU870	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU259	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
OTU4	0	1	0	3	3249	3065	370	1	0	0	0	1142	8868	3717	0	0	1	0	1	2912	1289	19288	0	1	0	0	0	12515	4486	0	2	1	15	0	0	0	8056	2880	164	0	2
OTU679	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU6	0	1	0	6667	2	5	2	11734	0	0	1562	1	1	3	1260	2	25	5	9021	18	1	1	5795	66	97	0	15932	2	3	1	15455	22851	71	1	1	12693	23	2	11	16510	10681
OTU29	0	1	0	217	1	0	1	151	0	15	6424	0	0	1	1151	0	3	0	1714	4	0	1	1788	8	0	1	2124	0	15	1	3308	1171	0	42	0	5111	0	0	28	584	106
OTU549	0	1	1	0	35	0	0	0	0	1	0	0	0	8	0	2	1900	0	0	90	16	3	0	9	4645	0	0	0	3	0	0	0	1	6899	2	0	23	3	0	0	0
OTU239	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	10	3	0	0	0	2	0	0	31	2	0	0	0	0	0	0	0	97	4	0	0	0	0	0	0	0
OTU69	0	0	488	2	0	0	0	0	0	0	1	0	0	0	0	4	26	0	0	0	0	0	0	0	75	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU92	0	0	257	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
OTU180	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU143	0	0	103	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU196	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU898	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU384	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU332	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU108	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	389	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
OTU383	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU24	0	0	1	1720	0	0	0	1378	0	0	940	0	0	0	1599	1	0	0	1018	1	0	0	750	1	0	0	303	0	6	0	486	565	0	0	0	489	0	0	34	494	1097
OTU36	0	0	1	140	0	0	0	33	15	0	2615	0	0	0	527	0	11	0	1090	0	0	0	672	0	0	0	377	0	0	0	402	148	1	0	0	685	0	0	6	79	10
OTU802	0	0	1	0	35	146	384	0	0	0	0	409	304	202	0	0	0	0	0	84	62	161	0	0	0	0	0	250	238	0	0	0	0	0	0	0	244	523	578	0	0
OTU670	0	0	0	1145	0	0	0	1023	0	1	95	0	0	0	145	1	1	1	599	1	0	0	588	0	1	0	269	0	0	0	271	439	1	0	0	537	0	0	1	1101	1212
OTU7	0	0	0	24488	1	1	1	17904	0	35	1693	0	1	32	2122	17	78	1	11213	11	5	2	11484	1	38	0	6288	1	14	2	6385	9820	0	0	0	10016	8	2	6	20215	25826
OTU344	0	0	0	15	0	0	0	13	0	0	14	0	0	0	26	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	2	6	10
OTU87	0	0	0	2622	1	5	0	5986	1	3	497	0	0	1	377	2	13	0	3830	1	0	1	2851	31	40	0	4860	0	0	0	7393	8069	19	0	0	4846	1	0	7	7202	5399
OTU112	0	0	0	545	0	0	0	863	0	0	90	0	1	0	61	0	0	0	430	0	0	0	549	23	18	0	884	0	0	0	1240	1611	0	0	0	1075	0	0	0	2252	1325
OTU33	0	0	0	2122	0	0	0	1408	0	0	207	0	0	0	465	0	0	0	195	0	0	0	176	1	0	0	115	0	0	0	199	182	0	0	0	329	1	0	1	503	1235
OTU235	0	0	0	126	0	0	0	75	0	0	24	0	0	0	46	0	0	0	29	0	0	0	31	0	0	0	16	0	0	0	47	31	0	0	0	18	0	0	0	13	33
